,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title
11611,HD005920/6,HD005920,Antiochia*,Antiochia,912872.0,"['Jebel Khayabir', 'Alexandria', 'Antiochia', 'Spasinou Charax', 'Karkh Maisan', '[Astarabad Ardashir]']",30.719479,47.561886,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?
11628,HD005959/2,HD005959,Heraclea*,Heraclea,844944.0,['Heraclea'],41.2832553333,31.4174136667,Heraclea
11744,HD006083/1,HD006083,domo* Aelia* Capitolina,Aelia Capitolina,,,,,
11752,HD006086/1,HD006086,Parthus Anazarbaeus,Parthus Anazarbaeus,,,,,
11755,HD006087/1,HD006087,domo+ [---]a,[---]a,,,,,
11848,HD006254/1,HD006254,civis Arabus Bataneus*?,Arabus Bataneus,,,,,
11878,HD006267/1,HD006267,Sirmiensi*,Sirmiensi,,,,,
11914,HD006297/1,HD006297,Philadelphia,Philadelphia,,,,,
11925,HD006310/1,HD006310,Viennae,Viennae,,,,,
12056,HD006493/1,HD006493,natione Britanicianus+,Britanicianus,,,,,
12073,HD006510/1,HD006510,natione* Italo*,Italo,,,,,
12084,HD006522/1,HD006522,Uxamensis*,Uxamensis,,,,,
12090,HD006535/1,HD006535,Aelio,Aelio,,,,,
12165,HD006642/1,HD006642,ex provincia Baetica Tuccitanus,provincia Baetica Tuccitanus,,,,,
12255,HD006719/1,HD006719,domo* Nicopoli* Syriae+*,Nicopoli Syriae,,,,,
12330,HD006780/1,HD006780,Faventia,Faventia,393420.0,['Faventia'],44.286236,11.883507,Faventia
12370,HD006806/4,HD006806,domo+? Ancyra*,Ancyra,619103.0,['Ancyra'],39.9437925,32.859333,Ancyra
12419,HD006830/1,HD006830,domo Nicia (= Nicaea),Nicaea,157894.0,['Nicaea'],43.703436,7.266233,Nicaea
12503,HD006867/1,HD006867,Patriciensis,Patriciensis,,,,,
12579,HD006908/1,HD006908,natione* Libycus*?,Libycus,,,,,
12714,HD007148/1,HD007148,Iuliensis,Iuliensis,,,,,
12718,HD007151/1,HD007151,Damanitanus+,Damanitanus,,,,,
12726,HD007166/1,HD007166,Gallecus+*?,Gallecus,,,,,
12752,HD007243/1,HD007243,Osquensis*,Osquensis,,,,,
12756,HD007251/1,HD007251,Antiochia*?,Antiochia,912872.0,"['Jebel Khayabir', 'Alexandria', 'Antiochia', 'Spasinou Charax', 'Karkh Maisan', '[Astarabad Ardashir]']",30.719479,47.561886,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?
12812,HD007403/1,HD007403,natione* Aegyptus,Aegyptus,766.0,['Aegyptus'],,,Aegyptus (Roman imperial province)
12814,HD007409/1,HD007409,Galata,Galata,216814.0,['Galata'],43.170087,27.938903,Galata
12973,HD007536/2,HD007536,Uliensis,Uliensis,,,,,
13016,HD007554/1,HD007554,Vadiniensi,Vadiniensi,,,,,
13198,HD007778/1,HD007778,Lepido Regio,Lepido Regio,,,,,
13308,HD007914/1,HD007914,domo+ Aequo+,Aequo,,,,,
13314,HD007917/3,HD007917,Salonis*,Salonis,,,,,
13330,HD007944/1,HD007944,colonia*? CARAS,colonia CARAS,,,,,
13522,HD008142/1,HD008142,Lepci Magna*,Lepci Magna,,,,,
13531,HD008146/1,HD008146,Emona?,Emona,197258.0,['Emona'],46.051425,14.505963,Emona
13533,HD008149/1,HD008149,Amphipoli*?,Amphipoli,,,,,
13564,HD008182/1,HD008182,Apro,Apro,,,,,
13567,HD008185/1,HD008185,Arcobriga+*,Arcobriga,246183.0,['Arcobriga'],41.2959278328,-2.13807695147,Arcobriga
13590,HD008218/1,HD008218,Risiniensis*?,Risiniensis,,,,,
13591,HD008218/2,HD008218,G(---)?,G(---),,,,,
13614,HD008242/1,HD008242,domo Brixia,Brixia,383603.0,['Brixia'],45.539773,10.223135,Brixia
13630,HD008266/1,HD008266,domo* municipio* A[---]C(---),municipio A[---]C(---),,,,,
13737,HD008446/1,HD008446,Volsinis,Volsinis,,,,,
13799,HD008584/4,HD008584,nationi (= natione) Tebaeus,Tebaeus,,,,,
13800,HD008584/5,HD008584,natione Prugia,Prugia,,,,,
13801,HD008584/6,HD008584,natione verna,,,,,,
13802,HD008584/7,HD008584,nationi (= natione) Smurnaeus,Smurnaeus,,,,,
13803,HD008584/8,HD008584,natione* Punica,Punica,,,,,
13894,HD008687/1,HD008687,Astigitanus,Astigitanus,,,,,
